AAPL,MSFT,IBM,WAB,AMZN,V,UNH,NVDA,AMD,JPM,COP,MS,KO,META,NFLX,NKE,Date
231.42332458496094,411.0314636230469,256.6683044433594,206.19668579101562,236.1699981689453,346.9755554199219,530.3779907226562,124.80281066894531,112.01000213623047,266.1916809082031,96.85932159423828,136.04501342773438,61.741756439208984,703.2274169921875,101.11100006103516,73.3236083984375,2025-02-05
232.16995239257812,413.5475769042969,247.05667114257812,206.44540405273438,238.8300018310547,345.0293884277344,520.7786254882812,128.65194702148438,110.16000366210938,272.56024169921875,96.59835052490234,138.15037536621094,61.97651672363281,710.3307495117188,101.56800079345703,70.54090881347656,2025-02-06
226.60513305664062,407.5107727050781,245.98435974121094,205.75889587402344,229.14999389648438,345.5655822753906,517.8212890625,129.81170654296875,107.55999755859375,271.4775085449219,95.07117462158203,137.07321166992188,62.44603729248047,712.8548583984375,101.39299774169922,67.53205871582031,2025-02-07
226.8741912841797,409.96728515625,244.6105499267578,207.32098388671875,233.13999938964844,348.7529602050781,524.050537109375,133.54090881347656,110.4800033569336,266.7921142578125,96.15373229980469,134.45864868164062,63.140533447265625,715.7281494140625,102.76000213623047,69.75428009033203,2025-02-10
231.82725524902344,409.1915283203125,249.9390411376953,207.07223510742188,232.75999450683594,348.83251953125,524.5908813476562,132.77108764648438,111.0999984741211,270.68017578125,98.30915832519531,134.92869567871094,66.12393188476562,718.12255859375,100.80799865722656,70.14759063720703,2025-02-11
236.06277465820312,406.8046569824219,251.02828979492188,188.317138671875,228.92999267578125,349.5983581542969,518.184814453125,131.11143493652344,111.72000122070312,271.1330261230469,95.10983276367188,134.2628173828125,67.2096939086914,723.6895751953125,102.73100280761719,71.0522232055664,2025-02-12
240.70689392089844,408.29644775390625,254.34512329101562,195.4908447265625,230.3699951171875,353.71612548828125,521.898681640625,135.26052856445312,111.80999755859375,271.9893798828125,93.65999603271484,133.9984130859375,67.98245239257812,726.8621826171875,104.36900329589844,71.98634338378906,2025-02-13
243.7664337158203,406.1979675292969,256.39605712890625,187.24258422851562,228.67999267578125,351.9058837890625,514.3627319335938,138.81976318359375,113.0999984741211,272.255126953125,93.7964096069336,136.06460571289062,67.36620330810547,734.9532470703125,105.86000061035156,71.81917572021484,2025-02-14
243.6368865966797,407.4013977050781,258.1526184082031,187.33212280273438,226.64999389648438,354.8102111816406,491.9808044433594,139.36964416503906,114.27999877929688,275.5625,94.95594787597656,137.78807067871094,67.54228210449219,714.7005615234375,103.58499908447266,76.29312896728516,2025-02-18
244.03550720214844,412.5033264160156,259.3792419433594,192.3467559814453,226.6300048828125,353.3182678222656,502.11065673828125,139.19967651367188,114.69000244140625,274.8734436035156,97.02169036865234,137.7684783935547,68.54000091552734,702.1300048828125,104.33300018310547,75.49666595458984,2025-02-19
