Date,PEA,QBTS,TradeClassic
2025-06-20,99.9489314960147,129.95638932675675,102.167782708445
2025-06-23,99.91530570569228,129.52140559242943,102.05760833267725
2025-06-24,100.00118208662074,129.42929616262433,102.1045481369416
2025-06-25,99.98587257775375,128.937011696756,102.09449085842357
2025-06-26,100.01008057758433,128.82513013609073,102.10965682599196
2025-06-27,100.06327979588066,128.46496968360844,102.1500685433374
2025-06-30,100.06427349393758,129.30488648119876,102.1823052988856
2025-07-01,100.03484026705804,129.24782794332262,102.14407723078224
2025-07-02,100.10326415085618,130.05111837945614,102.17460350188743
2025-07-03,100.08783840146968,130.57203611270347,102.22559409023877
2025-07-04,100.03016266508695,130.51400257470428,102.21870889626639
2025-07-07,100.04667473186703,130.4062960253245,102.24238852444473
2025-07-08,100.06256361511252,130.50979257050045,102.23557514769368
2025-07-09,100.14457296624573,130.4346206328856,102.25316387466614
2025-07-10,100.12651137016691,130.40805829902203,102.2806415418773
2025-07-11,100.07843632633413,129.62347563314765,102.3081003342224
2025-07-14,100.09280926948169,130.01509919083782,102.3213863350395
2025-07-15,100.05593064000293,130.37920046761465,102.29577409352697
2025-07-16,100.04702745827976,130.62944948197926,102.32170899873607
2025-07-17,100.08115558577421,132.08006149337533,102.39189763162871
2025-07-18,100.10791943756023,132.04560225623908,102.40607795358719
2025-07-21,100.11820826738362,131.80733911055697,102.4029213913099
2025-07-22,100.09790076405716,131.2603091783921,102.3743753960582
2025-07-23,100.10103506680883,132.7064622490468,102.44881023832934
2025-07-24,100.17107970566062,132.64590451111962,102.4882013930601
2025-07-25,100.13577032686464,132.2746778780435,102.45361766234646
2025-07-28,100.11083791177985,132.04926313791293,102.43101733152295
2025-07-29,100.05499129585165,131.97520873265546,102.4222525438357
2025-07-30,100.09676162441312,131.53930199368972,102.37649587955644
2025-07-31,100.05524119161954,131.85544112393774,102.30131510443073
2025-08-01,100.00035580876758,131.23670108105148,102.2637979725994
2025-08-04,100.03490416161591,131.55571705464152,102.27968917377939
2025-08-05,100.04037114473677,132.22554867896895,102.39623129259665
2025-08-06,100.07566168484621,131.81630463839977,102.43123969493251
2025-08-07,100.09881058363037,131.64564728326826,102.31909223722333
2025-08-08,100.18895669955563,131.4953943113338,102.32050381629554
2025-08-11,100.20505992709099,131.77800974011112,102.36549602246801
2025-08-12,100.19571939616958,132.067728112319,102.4257154598802
2025-08-13,100.19753973936784,132.31509732131224,102.39023722412873
2025-08-14,100.21188773914163,131.94582529610665,102.40853587811922
2025-08-15,100.21018859891349,131.61916719468192,102.40213132269137
2025-08-18,100.16138501322189,131.33458475279832,102.38376811106082
2025-08-19,100.1925152898147,130.6799959993147,102.37453400485322
2025-08-20,100.2129967204542,130.3047117410386,102.39866667700409
2025-08-21,100.19572614840789,130.29258432385714,102.40038262243716
2025-08-22,100.21837955929381,130.77880341423844,102.486098596101
2025-08-25,100.13476181359589,130.57116923573105,102.46012118199543
2025-08-26,99.97133572115946,130.7334174636624,102.38998586453158
2025-08-27,99.953886426814,130.84953877359294,102.4342088910462
2025-08-28,99.97404961787633,131.26708987598326,102.43726667598784
2025-08-29,99.95738559144421,130.95275325494197,102.43031270306098
2025-09-01,99.95203099165163,130.90223114395667,102.4318104413926
2025-09-02,99.89891688584076,130.38827442629227,102.33921972359632
2025-09-03,99.92446854907726,130.74020972172042,102.29710449429284
2025-09-04,99.99724844238983,130.48994850193404,102.32832339499866
2025-09-05,99.9608899182759,131.01560367486746,102.37097598538787
2025-09-08,100.0089702314811,130.75888240060053,102.37089388709204
2025-09-09,100.03207334548965,131.2195131335528,102.37924227718413
2025-09-10,100.08031771426676,131.1985700367981,102.40114213993603
2025-09-11,100.11516062043076,131.45095238340954,102.4101599406109
2025-09-12,100.10613616269963,132.16781826471208,102.4942983986533
2025-09-15,100.15994482253431,132.4281467915958,102.56626673546268
2025-09-16,100.09720512494475,132.69325520225485,102.46780305962
2025-09-17,100.07844120229619,134.3261495612188,102.42937764010462
2025-09-18,100.1016577450966,134.71886462033336,102.44548356164094
2025-09-19,100.1505798680952,135.57211596182353,102.45350755624129
2025-09-22,100.16762974557514,135.28024000422408,102.44747629800777
2025-09-23,100.19271774440055,135.67663959403856,102.49507631377239
2025-09-24,100.16544483489625,136.892030747793,102.3798826795424
2025-09-25,100.13741341447951,135.3276292419356,102.3712060257024
2025-09-26,100.2237694888802,135.3671749147383,102.49892008721697
2025-09-29,100.23174760148628,136.83552262752065,102.54448802859584
2025-09-30,100.20237591903793,136.6389477772879,102.50530393239725
2025-10-01,100.25839493364799,135.70282490727118,102.45741240475527
2025-10-02,100.25442374758529,135.58291788291027,102.56400172589176
2025-10-03,100.26041958105762,138.15950925465665,102.55733413774988
2025-10-06,100.15739625770127,139.61094387293613,102.57903112365324
2025-10-07,100.15135318876946,143.10503304474986,102.54691550816383
2025-10-08,100.18244256065216,144.6430557233814,102.5600605949388
2025-10-09,100.20781860038855,142.286209560478,102.58059054025873
2025-10-10,100.17529393026552,141.23370913726052,102.47202054605602
2025-10-13,100.17529393026552,141.23370913726052,102.47202054605602
